                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 430.93,                      0,                      0,                      0,                      0,                      0,                      0,                 437.43,                      0,                      0,                      0,                      0
                      2,                      0,                 416.27,                      0,                      0,                      0,                      0,                      0,                      0,                 388.76,                      0,               1.01e-05,               1.01e-05,               1.01e-05
