                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 11.843,                      0,                      0,                      0,                      0,                      0,                      0,                 5.3428,                      0,             0.00036763,             0.00036763,             0.00036763
                      2,                      0,                 7.1431,                      0,                      0,                      0,                      0,                      0,                      0,                 3.5756,                      0,             0.00059185,             0.00059185,             0.00059185
                      3,                      0,                 4.9127,                      0,                      0,                      0,                      0,                      0,                      0,                 2.6062,                      0,             0.00066941,             0.00066941,             0.00066941
                      4,                      0,                  3.754,                      0,                      0,                      0,                      0,                      0,                      0,                 2.1313,                      0,             0.00045107,             0.00045107,             0.00045107
                      5,                      0,                 3.1938,                      0,                      0,                      0,                      0,                      0,                      0,                 1.9019,                      0,             0.00023109,             0.00023109,             0.00023109
