                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0135,                 3.5916,                 2.2003,                0.01932,                0.20519,                0.01767,                0.00418,                 3.1476,                 9.7646,                 2.4115,             0.00025722,             0.00025722,             0.00025722
                      2,                 2.4862,                 2.6097,                 1.7619,                0.10569,                0.09393,                0.06457,                0.01887,                  2.638,                 3.0545,                 2.0476,             0.00026701,             0.00026701,             0.00026701
