                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2193,                 2.4621,                 1.5942,                0.49276,                0.40581,                0.38779,                0.15192,                 2.0493,                 2.7852,                 1.6022,             0.00034296,             0.00034296,             0.00034296
                      2,                 1.9711,                 1.7325,                 1.4575,                 0.5339,                0.48438,                0.50575,                0.22248,                 1.8431,                 2.0966,                 1.4123,             0.00046914,             0.00046914,             0.00046914
                      3,                 1.8267,                 1.5881,                 1.3749,                0.65757,                0.55417,                0.56111,                0.26029,                 1.7192,                 1.6416,                  1.372,             0.00035954,             0.00035954,             0.00035954
